n;ID;timestamp;agent.type;client.ip;client.packets;client.port;destination.port;host.ip;source.ip;event.start;host.name;network.bytes;process.pid;server.ip;destination.ip;Prioridad;Clasificacion;Bloque
501;T0501;Dec 3  2022 @ 03:05:27.291;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;-;-;2;No critico;Bloque 347
502;T0502;Dec 3  2022 @ 03:05:27.291;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;-;-;2;No critico;Bloque 380
503;T0503;Dec 3  2022 @ 03:06:02.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;24279;-;3;En espera de validacion;-
504;T0504;Dec 3  2022 @ 03:06:02.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26981;-;1;Critico;Bloque 228
505;T0505;Dec 3  2022 @ 03:06:02.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;24209;-;1;Critico;Bloque 264
506;T0506;Dec 3  2022 @ 03:06:02.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26982;-;2;No critico;Bloque 413
507;T0507;Dec 3  2022 @ 03:06:02.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26980;-;2;No critico;Bloque 639
508;T0508;Dec 3  2022 @ 03:06:02.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26983;-;2;No critico;Bloque 526
509;T0509;Dec 3  2022 @ 03:06:02.728;RH00001;auditbeat;127.0.0.1;18;58312;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.264;charlyhost;13.8KB;25357;127.0.0.1;2;No critico;Bloque 640
510;T0510;Dec 3  2022 @ 03:06:02.727;RH00001;auditbeat;192.168.109.129;15;32944;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:47.870;charlyhost;15.8KB;26942;35.193.143.25;3;En espera de validacion;-
511;T0511;Dec 3  2022 @ 03:06:02.727;RH00001;auditbeat;127.0.0.1;19;58312;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.263;charlyhost;14KB;26942;127.0.0.1;2;No critico;Bloque 348
512;T0512;Dec 3  2022 @ 03:06:02.727;RH00001;auditbeat;127.0.0.1;1;56296;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:56.794;charlyhost;80B;26942;127.0.0.1;3;En espera de validacion;-
513;T0513;Dec 3  2022 @ 03:06:02.315;RH00001;auditbeat;127.0.0.1;1;46926;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:06:01.213;charlyhost;80B;26983;127.0.0.1;3;En espera de validacion;-
514;T0514;Dec 3  2022 @ 03:06:02.227;RH00001;auditbeat;127.0.0.1;2;35799;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:58.025;charlyhost;508B;19341;127.0.0.53;1;Critico;Bloque 265
515;T0515;Dec 3  2022 @ 03:06:00.727;RH00001;auditbeat;127.0.0.1;2;33364;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:55.535;charlyhost;508B;19341;127.0.0.53;2;No critico;Bloque 414
516;T0516;Dec 3  2022 @ 03:06:00.727;RH00001;auditbeat;127.0.0.1;2;57857;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:55.416;charlyhost;480B;19341;127.0.0.53;2;No critico;Bloque 603
517;T0517;Dec 3  2022 @ 03:06:00.727;RH00001;auditbeat;192.168.109.129;1;48401;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:55.417;charlyhost;212B;789;192.168.109.2;3;En espera de validacion;-
518;T0518;Dec 3  2022 @ 03:06:00.665;RH00001;auditbeat;127.0.0.1;1;56308;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:56.794;charlyhost;80B;26942;127.0.0.1;1;Critico;Bloque 103
519;T0519;Dec 3  2022 @ 03:05:53.727;RH00001;auditbeat;127.0.0.1;2;34986;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:47.795;charlyhost;771B;26942;127.0.0.53;3;En espera de validacion;-
520;T0520;Dec 3  2022 @ 03:05:53.727;RH00001;auditbeat;192.168.109.129;1;55628;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:47.833;charlyhost;287B;789;192.168.109.2;3;En espera de validacion;-
521;T0521;Dec 3  2022 @ 03:05:52.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26982;-;2;No critico;Bloque 527
522;T0522;Dec 3  2022 @ 03:05:52.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26981;-;3;En espera de validacion;-
523;T0523;Dec 3  2022 @ 03:05:52.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26980;-;2;No critico;Bloque 451
524;T0524;Dec 3  2022 @ 03:05:52.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;26942;-;3;En espera de validacion;-
525;T0525;Dec 3  2022 @ 03:05:52.727;RH00001;auditbeat;192.168.109.129;1;51747;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:47.482;charlyhost;258B;789;192.168.109.2;1;Critico;Bloque 229
526;T0526;Dec 3  2022 @ 03:05:52.727;RH00001;auditbeat;192.168.109.129;1;58705;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:47.482;charlyhost;190B;789;192.168.109.2;1;Critico;Bloque 188
527;T0527;Dec 3  2022 @ 03:05:52.727;RH00001;auditbeat;127.0.0.1;1;34106;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.791;charlyhost;80B;26942;127.0.0.1;1;Critico;Bloque 137
528;T0528;Dec 3  2022 @ 03:05:52.726;RH00001;auditbeat;127.0.0.1;1;34098;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.791;charlyhost;80B;26942;127.0.0.1;3;En espera de validacion;-
529;T0529;Dec 3  2022 @ 03:05:52.726;RH00001;auditbeat;127.0.0.1;1;34086;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.787;charlyhost;80B;26942;127.0.0.1;2;No critico;Bloque 452
530;T0530;Dec 3  2022 @ 03:05:52.726;RH00001;auditbeat;127.0.0.1;1;34078;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.785;charlyhost;80B;26942;127.0.0.1;2;No critico;Bloque 566
531;T0531;Dec 3  2022 @ 03:05:52.704;RH00001;auditbeat;127.0.0.1;2;48126;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:50.549;charlyhost;496B;19341;127.0.0.53;2;No critico;Bloque 487
532;T0532;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;127.0.0.1;2;60342;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.630;charlyhost;600B;19341;127.0.0.53;1;Critico;Bloque 138
533;T0533;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;127.0.0.1;2;54551;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.556;charlyhost;518B;19341;127.0.0.53;2;No critico;Bloque 349
534;T0534;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;55689;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.593;charlyhost;233B;789;192.168.109.2;1;Critico;Bloque 139
535;T0535;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;57655;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.558;charlyhost;270B;789;192.168.109.2;1;Critico;Bloque 59
536;T0536;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;49396;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.557;charlyhost;204B;789;192.168.109.2;1;Critico;Bloque 266
537;T0537;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;43884;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.206;charlyhost;60B;26942;169.254.169.254;2;No critico;Bloque 528
538;T0538;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;43868;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.206;charlyhost;60B;26942;169.254.169.254;2;No critico;Bloque 488
539;T0539;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;43882;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.206;charlyhost;60B;26942;169.254.169.254;2;No critico;Bloque 604
540;T0540;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;43910;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.207;charlyhost;60B;26942;169.254.169.254;1;Critico;Bloque 315
541;T0541;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;43902;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.206;charlyhost;60B;26942;169.254.169.254;2;No critico;Bloque 489
542;T0542;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;52148;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.207;charlyhost;60B;26942;169.254.169.254;2;No critico;Bloque 641
543;T0543;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;192.168.109.129;1;43908;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.207;charlyhost;60B;26942;169.254.169.254;3;En espera de validacion;-
544;T0544;Dec 3  2022 @ 03:05:51.729;RH00001;auditbeat;127.0.0.1;2;46251;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.256;charlyhost;496B;19341;127.0.0.53;1;Critico;Bloque 189
545;T0545;Dec 3  2022 @ 03:05:51.728;RH00001;auditbeat;127.0.0.1;2;54870;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:46.099;charlyhost;480B;19341;127.0.0.53;2;No critico;Bloque 415
546;T0546;Dec 3  2022 @ 03:05:51.728;RH00001;auditbeat;192.168.109.129;1;46108;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.100;charlyhost;212B;789;192.168.109.2;2;No critico;Bloque 453
547;T0547;Dec 3  2022 @ 03:05:51.728;RH00001;auditbeat;192.168.109.129;1;40272;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:46.101;charlyhost;224B;789;192.168.109.2;3;En espera de validacion;-
548;T0548;Dec 3  2022 @ 03:05:50.562;RH00001;auditbeat;192.168.109.129;1;54991;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:47.797;charlyhost;402B;789;192.168.109.2;3;En espera de validacion;-
549;T0549;Dec 3  2022 @ 03:05:50.559;RH00001;auditbeat;192.168.109.129;1;36043;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:47.796;charlyhost;325B;789;192.168.109.2;1;Critico;Bloque 18
550;T0550;Dec 3  2022 @ 03:05:49.728;RH00001;auditbeat;127.0.0.1;2;52170;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:19.031;charlyhost;771B;26892;127.0.0.53;2;No critico;Bloque 381
551;T0551;Dec 3  2022 @ 03:05:48.727;RH00001;auditbeat;192.168.109.129;15;53538;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:33.461;charlyhost;15.8KB;26921;35.193.143.25;1;Critico;Bloque 140
552;T0552;Dec 3  2022 @ 03:05:48.727;RH00001;auditbeat;127.0.0.1;19;48184;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:31.866;charlyhost;14KB;26921;127.0.0.1;1;Critico;Bloque 190
553;T0553;Dec 3  2022 @ 03:05:18.038;RH00001;auditbeat;192.168.109.129;1;39214;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:17.451;charlyhost;60B;26892;169.254.169.254;3;En espera de validacion;-
554;T0554;Dec 3  2022 @ 03:05:18.028;RH00001;auditbeat;192.168.109.129;1;39198;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:14.448;charlyhost;60B;26892;169.254.169.254;1;Critico;Bloque 104
555;T0555;Dec 3  2022 @ 03:05:17.728;RH00001;auditbeat;127.0.0.1;2;49548;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:47.591;charlyhost;728B;19341;127.0.0.53;1;Critico;Bloque 286
556;T0556;Dec 3  2022 @ 03:05:17.728;RH00001;auditbeat;127.0.0.1;2;36851;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:47.615;charlyhost;528B;19341;127.0.0.53;2;No critico;Bloque 605
557;T0557;Dec 3  2022 @ 03:05:17.728;RH00001;auditbeat;127.0.0.1;2;36155;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:47.556;charlyhost;480B;19341;127.0.0.53;1;Critico;Bloque 141
558;T0558;Dec 3  2022 @ 03:05:17.728;RH00001;auditbeat;127.0.0.1;2;56871;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:47.466;charlyhost;480B;19341;127.0.0.53;2;No critico;Bloque 350
559;T0559;Dec 3  2022 @ 03:05:17.461;RH00001;auditbeat;192.168.109.129;15;32848;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:05:04.659;charlyhost;15.8KB;26867;35.193.143.25;1;Critico;Bloque 230
560;T0560;Dec 3  2022 @ 03:05:16.728;RH00001;auditbeat;192.168.109.129;15;41818;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:45.815;charlyhost;3.8KB;19341;161.132.11.17;2;No critico;Bloque 416
561;T0561;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;33487;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:46.365;charlyhost;618B;19341;127.0.0.53;3;En espera de validacion;-
562;T0562;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;44952;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:46.415;charlyhost;480B;19341;127.0.0.53;1;Critico;Bloque 19
563;T0563;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;50801;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:46.404;charlyhost;480B;19341;127.0.0.53;2;No critico;Bloque 454
564;T0564;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;45735;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:46.263;charlyhost;480B;19341;127.0.0.53;1;Critico;Bloque 20
565;T0565;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;192.168.109.129;27;57824;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:40.821;charlyhost;120.7KB;19341;152.199.24.163;2;No critico;Bloque 529
566;T0566;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;46243;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:45.724;charlyhost;642B;19341;127.0.0.53;3;En espera de validacion;-
567;T0567;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;1;41476;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:45.725;charlyhost;309B;19341;127.0.0.53;2;No critico;Bloque 567
568;T0568;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;46805;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:45.733;charlyhost;544B;19341;127.0.0.53;3;En espera de validacion;-
569;T0569;Dec 3  2022 @ 03:05:16.727;RH00001;auditbeat;127.0.0.1;2;50787;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:45.758;charlyhost;508B;19341;127.0.0.53;2;No critico;Bloque 490
570;T0570;Dec 3  2022 @ 03:05:15.728;RH00001;auditbeat;127.0.0.1;2;47589;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:44.786;charlyhost;480B;19341;127.0.0.53;2;No critico;Bloque 642
571;T0571;Dec 3  2022 @ 03:05:14.727;RH00001;auditbeat;127.0.0.1;2;55494;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:43.890;charlyhost;670B;19341;127.0.0.53;3;En espera de validacion;-
572;T0572;Dec 3  2022 @ 03:05:14.457;RH00001;auditbeat;127.0.0.1;1;50172;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:05:13.584;charlyhost;80B;26867;127.0.0.1;3;En espera de validacion;-
573;T0573;Dec 3  2022 @ 03:04:57.727;RH00001;auditbeat;127.0.0.1;2;50215;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:52.420;charlyhost;480B;19341;127.0.0.53;1;Critico;Bloque 21
574;T0574;Dec 3  2022 @ 03:04:54.728;RH00001;auditbeat;127.0.0.1;1;57950;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:49.228;charlyhost;80B;26799;127.0.0.1;2;No critico;Bloque 455
575;T0575;Dec 3  2022 @ 03:04:54.728;RH00001;auditbeat;127.0.0.1;1;57946;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:49.226;charlyhost;80B;26799;127.0.0.1;3;En espera de validacion;-
576;T0576;Dec 3  2022 @ 03:04:54.728;RH00001;auditbeat;127.0.0.1;1;57940;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:49.223;charlyhost;80B;26799;127.0.0.1;3;En espera de validacion;-
577;T0577;Dec 3  2022 @ 03:04:54.728;RH00001;auditbeat;127.0.0.1;1;57922;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:49.218;charlyhost;80B;26799;127.0.0.1;2;No critico;Bloque 456
578;T0578;Dec 3  2022 @ 03:04:54.728;RH00001;auditbeat;127.0.0.1;1;57924;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:49.218;charlyhost;80B;26799;127.0.0.1;3;En espera de validacion;-
579;T0579;Dec 3  2022 @ 03:04:53.992;RH00001;auditbeat;127.0.0.1;2;51952;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:51.613;charlyhost;480B;19341;127.0.0.53;3;En espera de validacion;-
580;T0580;Dec 3  2022 @ 03:04:53.992;RH00001;auditbeat;127.0.0.1;2;41471;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:52.489;charlyhost;480B;19341;127.0.0.53;1;Critico;Bloque 142
581;T0581;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;52800;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.634;charlyhost;60B;26799;169.254.169.254;1;Critico;Bloque 231
582;T0582;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;52764;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.631;charlyhost;60B;26799;169.254.169.254;2;No critico;Bloque 606
583;T0583;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;37908;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.631;charlyhost;60B;26799;169.254.169.254;1;Critico;Bloque 287
584;T0584;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;52768;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.632;charlyhost;60B;26799;169.254.169.254;2;No critico;Bloque 382
585;T0585;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;52786;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.633;charlyhost;60B;26799;169.254.169.254;3;En espera de validacion;-
586;T0586;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;52790;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.633;charlyhost;60B;26799;169.254.169.254;3;En espera de validacion;-
587;T0587;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;52784;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.633;charlyhost;60B;26799;169.254.169.254;1;Critico;Bloque 22
588;T0588;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;127.0.0.1;1;57036;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:48.640;charlyhost;80B;26799;127.0.0.1;2;No critico;Bloque 491
589;T0589;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;127.0.0.1;2;48181;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:48.634;charlyhost;438B;19341;127.0.0.53;2;No critico;Bloque 383
590;T0590;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;127.0.0.1;2;36933;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:48.382;charlyhost;452B;19341;127.0.0.53;2;No critico;Bloque 351
591;T0591;Dec 3  2022 @ 03:04:53.728;RH00001;auditbeat;192.168.109.129;1;58497;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.383;charlyhost;194B;789;192.168.109.2;1;Critico;Bloque 232
592;T0592;Dec 3  2022 @ 03:04:53.727;RH00001;auditbeat;192.168.109.129;1;45204;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:48.382;charlyhost;214B;789;192.168.109.2;2;No critico;Bloque 457
593;T0593;Dec 3  2022 @ 03:04:53.727;RH00001;auditbeat;127.0.0.1;2;42573;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:48.387;charlyhost;480B;19341;127.0.0.53;3;En espera de validacion;-
594;T0594;Dec 3  2022 @ 03:04:53.727;RH00001;auditbeat;127.0.0.1;2;56892;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:48.343;charlyhost;410B;19341;127.0.0.53;2;No critico;Bloque 568
595;T0595;Dec 3  2022 @ 03:04:53.727;RH00001;auditbeat;192.168.109.129;1;59381;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:47.603;charlyhost;322B;789;192.168.109.2;2;No critico;Bloque 417
596;T0596;Dec 3  2022 @ 03:04:48.395;RH00001;auditbeat;192.168.109.129;1;49419;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:47.602;charlyhost;366B;789;192.168.109.2;3;En espera de validacion;-
597;T0597;Dec 3  2022 @ 03:04:48.392;RH00001;auditbeat;127.0.0.1;2;47234;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:04:47.602;charlyhost;732B;19341;127.0.0.53;2;No critico;Bloque 607
598;T0598;Dec 3  2022 @ 03:04:48.353;RH00001;auditbeat;192.168.109.129;1;50835;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:47.684;charlyhost;284B;789;192.168.109.2;1;Critico;Bloque 60
599;T0599;Dec 3  2022 @ 03:04:48.352;RH00001;auditbeat;192.168.109.129;1;52811;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:04:47.763;charlyhost;284B;789;192.168.109.2;2;No critico;Bloque 458
